"FM","KD_JENIS_TRANSAKSI","FG_PENGGANTI","NOMOR_FAKTUR","MASA_PAJAK","TAHUN_PAJAK","TANGGAL_FAKTUR","NPWP","NAMA","ALAMAT_LENGKAP","JUMLAH_DPP","JUMLAH_PPN","JUMLAH_PPNBM","IS_CREDITABLE"
"FM","01","0","0331649138780","9","2016","21/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","1790500","179050","0","1"
"FM","01","0","0331649138781","9","2016","21/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","1532000","153200","0","1"
"FM","01","0","0331649138782","9","2016","21/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","1340000","134000","0","1"
"FM","01","0","0331649138783","9","2016","21/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","803000","80300","0","1"
"FM","01","0","0331649138784","9","2016","21/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","2829000","282900","0","1"
"FM","01","0","0331649138785","9","2016","21/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","1027000","102700","0","1"
"FM","01","0","0331649138786","9","2016","21/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","1719500","171950","0","1"
"FM","01","0","0331649138787","9","2016","21/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","1254000","125400","0","1"
"FM","01","0","0331649138788","9","2016","21/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","4185000","418500","0","1"
"FM","03","0","0331649138789","9","2016","26/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","77529051","7752905","0","1"
"FM","03","0","0331649138790","9","2016","26/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","12921508","1292150","0","1"
"FM","01","0","0331649138791","9","2016","26/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","3424629","342462","0","1"
"FM","01","0","0331649138792","9","2016","26/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","1430000","143000","0","1"
"FM","01","0","0331649138793","9","2016","26/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","1930912","193091","0","1"
"FM","01","0","0331649138794","9","2016","26/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","1183200","118320","0","1"
"FM","01","0","0331649138795","9","2016","26/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","1805500","180550","0","1"
"FM","01","0","0331649138796","9","2016","26/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","1669000","166900","0","1"
"FM","03","0","0331669904359","9","2016","22/09/2016","022777163906000","CV GEDE DUTA VISUAL","PERUM.KESAMBI RAYA BLOK E.9, KEROBOKAN , BADUNG","15000000","1500000","0","1"
